"Registry Time","Total Events","Opens","Closes","Reads","Writes","Other","Path"
"0.0000150","4","0","0","4","0","0","HKCR\WOW6432Node\CLSID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\InprocServer32\ThreadingModel"
"0.0000076","2","0","0","2","0","0","HKCR\WOW6432Node\CLSID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\LocalizedString"
"0.0000130","2","2","0","0","0","0","HKCR\WOW6432Node\CLSID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\LocalServer"
"0.0000236","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\LocalServer32"
"0.0000255","6","6","0","0","0","0","HKCR\WOW6432Node\CLSID\{304CE942-6E39-40D8-943A-B913C40C9CD4}\TreatAs"
"0.0002679","104","16","16","0","16","56","HKCR\WOW6432Node\CLSID\{674B6698-EE92-11D0-AD71-00C04FD8FDFF}"
"0.0000497","16","0","0","16","0","0","HKCR\WOW6432Node\CLSID\{674B6698-EE92-11D0-AD71-00C04FD8FDFF}\(Default)"
"0.0000274","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{674B6698-EE92-11D0-AD71-00C04FD8FDFF}\ActivateOnHostFlags"
"0.0000113","4","0","0","4","0","0","HKCR\WOW6432Node\CLSID\{674B6698-EE92-11D0-AD71-00C04FD8FDFF}\AppID"
"0.0000174","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{674B6698-EE92-11D0-AD71-00C04FD8FDFF}\Elevation"
"0.0000350","8","8","0","0","0","0","HKCR\WOW6432Node\CLSID\{674B6698-EE92-11D0-AD71-00C04FD8FDFF}\InprocHandler"
"0.0000355","8","8","0","0","0","0","HKCR\WOW6432Node\CLSID\{674B6698-EE92-11D0-AD71-00C04FD8FDFF}\InprocHandler32"
"0.0000523","16","8","8","0","0","0","HKCR\WOW6432Node\CLSID\{674B6698-EE92-11D0-AD71-00C04FD8FDFF}\InprocServer32"
"0.0001292","24","0","0","24","0","0","HKCR\WOW6432Node\CLSID\{674B6698-EE92-11D0-AD71-00C04FD8FDFF}\InprocServer32\(Default)"
"0.0000378","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{674B6698-EE92-11D0-AD71-00C04FD8FDFF}\InprocServer32\InprocServer32"
"0.0000257","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{674B6698-EE92-11D0-AD71-00C04FD8FDFF}\InprocServer32\ThreadingModel"
"0.0000164","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{674B6698-EE92-11D0-AD71-00C04FD8FDFF}\LocalServer"
"0.0000210","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{674B6698-EE92-11D0-AD71-00C04FD8FDFF}\LocalServer32"
"0.0000503","12","12","0","0","0","0","HKCR\WOW6432Node\CLSID\{674B6698-EE92-11D0-AD71-00C04FD8FDFF}\TreatAs"
"0.0003216","104","16","16","0","16","56","HKCR\WOW6432Node\CLSID\{7C857801-7381-11CF-884D-00AA004B2E24}"
"0.0000491","16","0","0","16","0","0","HKCR\WOW6432Node\CLSID\{7C857801-7381-11CF-884D-00AA004B2E24}\(Default)"
"0.0000460","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{7C857801-7381-11CF-884D-00AA004B2E24}\ActivateOnHostFlags"
"0.0000114","4","0","0","4","0","0","HKCR\WOW6432Node\CLSID\{7C857801-7381-11CF-884D-00AA004B2E24}\AppID"
"0.0000194","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{7C857801-7381-11CF-884D-00AA004B2E24}\Elevation"
"0.0000374","8","8","0","0","0","0","HKCR\WOW6432Node\CLSID\{7C857801-7381-11CF-884D-00AA004B2E24}\InprocHandler"
"0.0000323","8","8","0","0","0","0","HKCR\WOW6432Node\CLSID\{7C857801-7381-11CF-884D-00AA004B2E24}\InprocHandler32"
"0.0000494","16","8","8","0","0","0","HKCR\WOW6432Node\CLSID\{7C857801-7381-11CF-884D-00AA004B2E24}\InprocServer32"
"0.0000749","24","0","0","24","0","0","HKCR\WOW6432Node\CLSID\{7C857801-7381-11CF-884D-00AA004B2E24}\InProcServer32\(Default)"
"0.0000235","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{7C857801-7381-11CF-884D-00AA004B2E24}\InProcServer32\InprocServer32"
"0.0000283","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{7C857801-7381-11CF-884D-00AA004B2E24}\InProcServer32\ThreadingModel"
"0.0000202","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{7C857801-7381-11CF-884D-00AA004B2E24}\LocalServer"
"0.0000187","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{7C857801-7381-11CF-884D-00AA004B2E24}\LocalServer32"
"0.0000465","12","12","0","0","0","0","HKCR\WOW6432Node\CLSID\{7C857801-7381-11CF-884D-00AA004B2E24}\TreatAs"
"0.0001145","32","4","4","0","4","20","HKCR\WOW6432Node\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}"
"0.0000269","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\(Default)"
"0.0000304","4","0","0","4","0","0","HKCR\WOW6432Node\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\ActivateOnHostFlags"
"0.0000308","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\InprocHandler"
"0.0000244","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\InprocHandler32"
"0.0000144","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\InprocServer32"
"0.0000182","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{8BC3F05E-D86B-11D0-A075-00C04FB68820}\TreatAs"
"0.0002419","104","16","16","0","16","56","HKCR\WOW6432Node\CLSID\{CB8555CC-9128-11D1-AD9B-00C04FD8FDFF}"
"0.0000499","16","0","0","16","0","0","HKCR\WOW6432Node\CLSID\{CB8555CC-9128-11D1-AD9B-00C04FD8FDFF}\(Default)"
"0.0000248","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{CB8555CC-9128-11D1-AD9B-00C04FD8FDFF}\ActivateOnHostFlags"
"0.0000111","4","0","0","4","0","0","HKCR\WOW6432Node\CLSID\{CB8555CC-9128-11D1-AD9B-00C04FD8FDFF}\AppID"
"0.0000192","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{CB8555CC-9128-11D1-AD9B-00C04FD8FDFF}\Elevation"
"0.0000318","8","8","0","0","0","0","HKCR\WOW6432Node\CLSID\{CB8555CC-9128-11D1-AD9B-00C04FD8FDFF}\InprocHandler"
"0.0000326","8","8","0","0","0","0","HKCR\WOW6432Node\CLSID\{CB8555CC-9128-11D1-AD9B-00C04FD8FDFF}\InprocHandler32"
"0.0000529","16","8","8","0","0","0","HKCR\WOW6432Node\CLSID\{CB8555CC-9128-11D1-AD9B-00C04FD8FDFF}\InprocServer32"
"0.0000744","24","0","0","24","0","0","HKCR\WOW6432Node\CLSID\{CB8555CC-9128-11D1-AD9B-00C04FD8FDFF}\InprocServer32\(Default)"
"0.0000229","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{CB8555CC-9128-11D1-AD9B-00C04FD8FDFF}\InprocServer32\InprocServer32"
"0.0000259","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{CB8555CC-9128-11D1-AD9B-00C04FD8FDFF}\InprocServer32\ThreadingModel"
"0.0000143","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{CB8555CC-9128-11D1-AD9B-00C04FD8FDFF}\LocalServer"
"0.0000226","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{CB8555CC-9128-11D1-AD9B-00C04FD8FDFF}\LocalServer32"
"0.0000472","12","12","0","0","0","0","HKCR\WOW6432Node\CLSID\{CB8555CC-9128-11D1-AD9B-00C04FD8FDFF}\TreatAs"
"0.0002794","104","16","16","0","16","56","HKCR\WOW6432Node\CLSID\{D68AF00A-29CB-43FA-8504-CE99A996D9EA}"
"0.0000667","16","0","0","16","0","0","HKCR\WOW6432Node\CLSID\{D68AF00A-29CB-43FA-8504-CE99A996D9EA}\(Default)"
"0.0000304","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{D68AF00A-29CB-43FA-8504-CE99A996D9EA}\ActivateOnHostFlags"
"0.0000117","4","0","0","4","0","0","HKCR\WOW6432Node\CLSID\{D68AF00A-29CB-43FA-8504-CE99A996D9EA}\AppID"
"0.0000158","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{D68AF00A-29CB-43FA-8504-CE99A996D9EA}\Elevation"
"0.0000300","8","8","0","0","0","0","HKCR\WOW6432Node\CLSID\{D68AF00A-29CB-43FA-8504-CE99A996D9EA}\InprocHandler"
"0.0000295","8","8","0","0","0","0","HKCR\WOW6432Node\CLSID\{D68AF00A-29CB-43FA-8504-CE99A996D9EA}\InprocHandler32"
"0.0000755","16","8","8","0","0","0","HKCR\WOW6432Node\CLSID\{D68AF00A-29CB-43FA-8504-CE99A996D9EA}\InprocServer32"
"0.0001051","24","0","0","24","0","0","HKCR\WOW6432Node\CLSID\{D68AF00A-29CB-43FA-8504-CE99A996D9EA}\InprocServer32\(Default)"
"0.0000416","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{D68AF00A-29CB-43FA-8504-CE99A996D9EA}\InprocServer32\InprocServer32"
"0.0000283","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{D68AF00A-29CB-43FA-8504-CE99A996D9EA}\InprocServer32\ThreadingModel"
"0.0000150","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{D68AF00A-29CB-43FA-8504-CE99A996D9EA}\LocalServer"
"0.0000156","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{D68AF00A-29CB-43FA-8504-CE99A996D9EA}\LocalServer32"
"0.0000544","12","12","0","0","0","0","HKCR\WOW6432Node\CLSID\{D68AF00A-29CB-43FA-8504-CE99A996D9EA}\TreatAs"
"0.0002523","104","16","16","0","16","56","HKCR\WOW6432Node\CLSID\{E7D35CFA-348B-485E-B524-252725D697CA}"
"0.0000495","16","0","0","16","0","0","HKCR\WOW6432Node\CLSID\{E7D35CFA-348B-485E-B524-252725D697CA}\(Default)"
"0.0000255","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{E7D35CFA-348B-485E-B524-252725D697CA}\ActivateOnHostFlags"
"0.0000113","4","0","0","4","0","0","HKCR\WOW6432Node\CLSID\{E7D35CFA-348B-485E-B524-252725D697CA}\AppID"
"0.0000150","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{E7D35CFA-348B-485E-B524-252725D697CA}\Elevation"
"0.0000268","8","8","0","0","0","0","HKCR\WOW6432Node\CLSID\{E7D35CFA-348B-485E-B524-252725D697CA}\InprocHandler"
"0.0000333","8","8","0","0","0","0","HKCR\WOW6432Node\CLSID\{E7D35CFA-348B-485E-B524-252725D697CA}\InprocHandler32"
"0.0000452","16","8","8","0","0","0","HKCR\WOW6432Node\CLSID\{E7D35CFA-348B-485E-B524-252725D697CA}\InprocServer32"
"0.0000723","24","0","0","24","0","0","HKCR\WOW6432Node\CLSID\{E7D35CFA-348B-485E-B524-252725D697CA}\InProcServer32\(Default)"
"0.0000240","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{E7D35CFA-348B-485E-B524-252725D697CA}\InProcServer32\InprocServer32"
"0.0000260","8","0","0","8","0","0","HKCR\WOW6432Node\CLSID\{E7D35CFA-348B-485E-B524-252725D697CA}\InProcServer32\ThreadingModel"
"0.0000374","4","4","0","0","0","0","HKCR\WOW6432Node\CLSID\{E7D35CFA-348B-485E-B524-252725D697CA}\LocalServer"
